# Required | A unique ID for the media title.,# Required | The URL for the main image of your media title. You can add up to 20 images using additional fields (from image[0].url to image[19].url). See image specifications: facebook.com/business/help/686259348512056,# Required | The brand name of the item. Character limit: 100.,# Required | A short and relevant description of the media title such as a plot summary for a movie. Character limit: 9999. See description specifications: facebook.com/business/help/2302017289821154,# Required | The title of the media content. Character limit: 200. See title specifications: facebook.com/business/help/2104231189874655,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the page where people can learn more about or access the media title.,# Optional | No description available,# Optional | No description available,# Optional | No description available,# Optional | No description available,# Optional | No description available,# Optional | Optional supplemental numerical data provided byadvertiser for the product,# Optional | Optional supplemental numerical data provided byadvertiser for the product,# Optional | Optional supplemental numerical data provided byadvertiser for the product,# Optional | Optional supplemental numerical data provided byadvertiser for the product,# Optional | Optional supplemental numerical data provided byadvertiser for the product,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The content category of the product such as movie or podcast. Used to recommend your products to the right people.,# Optional | The media genre such as action or comedy. Used to recommend your products to the right people. Use commas to separate multiple entries. Character limit: 200.,# Optional | Official rating of a media title. Can be shown in ads. Required for restricted audience targeting.,# Optional | A director of a production like a movie or radio show. Use commas to separate multiple entries. Character limit: 200.,# Optional | An actor in a production such as a movie or TV show. Use commas to separate multiple entries. Character limit: 200.,# Optional | Any notable awards or nominations. Use commas to separate multiple items. Character limit: 200.,# Optional | The release date of the product. Use the format YYYY-MM-DD. For example: 2026-02-16.,# Optional | The names of key individuals involved in the production of the media title such as musicians; hosts; or producers. Use commas to separate multiple entries. Character limit: 200.,# Optional | The production company or studio that created the product. Use commas to separate multiple entries. Character limit: 200.,# Optional | The duration of the product. Use the format HH-MM-SS. For example: 02-34-15 (ISO 8601).,# Optional | Any identifier that represents a work of film or television. For example: EIDR (Entertainment Identifier Registry).
id,image_link,brand,description,title,price,link,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4,sale_price,sale_price_effective_date,video[0].url,video[0].tag[0],media_category,genres,rating,director,cast,awards,release_date,featuring,production_company,duration,global_unique_identifier
TTBD-001,https://ttigerbd.com/assets/brand/chatgpt.webp,Tech Tiger BD,"Buy ChatGPT Plus subscription in Bangladesh. Shared renewable plan is ৳350 and Personal plan is ৳2600. Pay with bKash, Nagad, Rocket, or Binance. Fast delivery via WhatsApp.",ChatGPT Plus Subscription — Bangladesh,350.00 BDT,https://ttigerbd.com/products/chatgpt/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-002,https://ttigerbd.com/assets/brand/canva.webp,Tech Tiger BD,"Buy Canva Pro Personal 1 Year in your user mail for ৳150. Pay with bKash, Nagad, Rocket, or Binance and get fast delivery from Tech Tiger BD.",Canva Pro (1 Year) — Bangladesh,150.00 BDT,https://ttigerbd.com/products/canva-pro/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-003,https://ttigerbd.com/assets/brand/grammarly.webp,Tech Tiger BD,"Buy Grammarly Premium in Bangladesh (Shared 1 Month). Fast delivery via WhatsApp with bKash, Nagad, Rocket, and Binance payment support.",Grammarly Premium — Bangladesh,200.00 BDT,https://ttigerbd.com/products/grammarly/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-004,https://ttigerbd.com/assets/brand/spotify.webp,Tech Tiger BD,"Spotify Premium Bangladesh — price & top up from ৳60. Buy Spotify Premium in Bangladesh and pay via bKash, Nagad, Rocket or Binance. Instant delivery — Tech Tiger BD (TigerBD).",Spotify Premium — Bangladesh,60.00 BDT,https://ttigerbd.com/products/spotify/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-005,https://ttigerbd.com/assets/brand/perplexity.webp,Tech Tiger BD,"Buy Perplexity AI PRO in Bangladesh. Shared and Personal plans available. Personal plan is ৳2100 for your mail. Pay via bKash, Nagad, Rocket, or Binance.",Perplexity AI Pro — Bangladesh,2100.00 BDT,https://ttigerbd.com/products/perplexity/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-006,https://ttigerbd.com/assets/brand/claude.webp,Tech Tiger BD,"Buy Claude Pro Personal in your user mail for ৳2700. Local payment via bKash, Nagad, Rocket, or Binance with fast activation from Tech Tiger BD.",Claude Pro Subscription — Bangladesh,2700.00 BDT,https://ttigerbd.com/products/claude-pro/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-007,https://ttigerbd.com/assets/brand/netflix.webp,Tech Tiger BD,"Buy Netflix in Bangladesh (Personal / Personal Profile). Pay via bKash, Nagad, Rocket, Binance. Fast delivery — Tech Tiger BD.",Netflix Premium — Bangladesh,350.00 BDT,https://ttigerbd.com/products/netflix/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-008,https://ttigerbd.com/assets/brand/youtube.webp,Tech Tiger BD,"Buy YouTube Premium in Bangladesh from ৳180. Instant activation, ad-free YouTube, background play, YouTube Music. Pay securely via bKash, Nagad, Rocket, Binance at Tech Tiger BD.",YouTube Premium — Bangladesh,180.00 BDT,https://ttigerbd.com/products/youtube/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-009,https://ttigerbd.com/assets/brand/prime-video.webp,Tech Tiger BD,"Buy Prime Video subscription in Bangladesh. HD/4K streaming with instant delivery and secure payment via bKash, Nagad, Rocket, Binance.",Amazon Prime Video — Bangladesh,50.00 BDT,https://ttigerbd.com/products/prime-video/,,,,,,,,,,,,,,,,,,,,,,,,,
TTBD-010,https://ttigerbd.com/assets/brand/capcut.webp,Tech Tiger BD,"CapCut Premium বাংলাদেশে সেরা দামে কিনুন। No Watermark, Premium Templates, 4K HD Export সুবিধা। বিকাশ, নগদ, রকেট পেমেন্টে দ্রুত ডেলিভারি। 100% Trusted Tech Tiger BD।",CapCut Premium (Pro) — Bangladesh,1500.00 BDT,https://ttigerbd.com/products/capcut/,,,,,,,,,,,,,,,,,,,,,,,,,
